protocol,device_name,cpu_mhz,ram_kb,power_mw,distance_km,channel_loss_db_km,block_size,error_correction,qber,key_rate_bps,latency_s,phase1_init_s,phase2_qkd_s,phase3_post_processing_s,phase4_privacy_amp_s,phase5_key_management_s
BB84,Low-end,83.43162691955528,74.75545218162969,17.921566699331823,5.040019228067554,1.20086492416896,5000,LDPC,0.04125044647164174,89.82702375809488,5.550344603051449,0.7081063920900215,3.0393645989670897,1.5761214910414953,0.35083316572364626,0.3255839907178688
BB84,High-end,155.5072225114148,371.941830198578,43.42235397721997,6.459470518421801,1.7082268761475727,3000,LDPC,0.0490319772232407,135.0378561118105,3.3325473279835354,0.3489929363819761,1.898250361444308,0.7824593148996716,0.12140389839929296,0.04529664421996326
ARC-QKD,High-end,165.85818741900783,361.20791992302355,45.117950484428086,5.905929071880855,0.49372520226911665,3000,LDPC,0.03995451740836358,253.87136919806494,2.5889222464549526,0.1836773554470067,1.3633729124718512,0.6318449921650287,0.1345681412653202,0.07666141109499122
ARC-QKD,Low-end,94.03860517329416,87.38005926410834,15.470139637132833,7.52439989306678,1.0732937691241595,5000,LDPC,0.045136277000627806,122.13510665787652,4.33536494814407,0.46062323578922415,2.4379911977692577,1.0145363095050508,0.10586421837304143,0.08126795325995513
ARC-QKD,Low-end,89.81247221167641,89.87642832835525,15.402408742713682,1.3125982805967773,1.3998468862649687,1000,BCH,0.019677617174971154,399.46709533361013,1.700621727721423,0.18593338911033278,0.9450781390296042,0.3853495943459209,0.06838957787875938,0.006125036518350765
BB84,High-end,161.97185791483113,316.49432407219444,36.814054832400174,6.8330368497295,0.9181641385565795,1000,BCH,0.03986314287263651,149.65148355078503,1.6627121070216904,0.12945817251154382,0.9362403978012745,0.37404400046859393,0.04329986930921959,0.0644899795373554
ARC-QKD,Mid-range,134.02102510984525,196.804939585401,20.66976985749149,2.289773847024148,0.737541107492139,2000,LDPC,0.02883306212715578,379.66188000981276,2.018729236220506,0.18456690190714953,1.0545043513902166,0.4298894756061018,0.134569461107674,0.08646768092831943
BB84,Mid-range,124.76543516974694,240.93928119744695,26.15242493428885,9.077963001810561,0.7151258100532409,3000,BCH,0.038114002000557645,63.10406633261848,3.376784657329196,0.3202946204899133,1.918992904350747,0.7767006778129373,0.2141070931571697,0.24784712607048182
BB84,High-end,165.0383444496162,509.1350884853568,44.81771793569944,6.066806576382243,1.8294270517503601,2000,BCH,0.044743051942247425,193.05615402746275,2.227810408121449,0.2590474309004288,1.3123643345461258,0.5128454995551746,-0.0017011087223744467,0.10354218491480516
BB84,High-end,160.23745275975557,375.1528944386782,35.264999274146696,1.0618888127099062,0.6213158375803265,2000,LDPC,0.01,625.8158697595914,2.880836721075777,0.26782408907768346,1.609028294978543,0.7128764803684393,0.051425775549039286,0.2665462603583695
BB84,High-end,168.76294419529202,448.08783707886903,50.945969875431175,3.179695130014917,0.20790764402502437,3000,BCH,0.02562967157181064,341.6208476459762,3.4412972076951327,0.3763072641224561,1.8164350415851693,0.9234305507557425,0.29740966911278166,0.17683918615379576
ARC-QKD,Mid-range,109.56944692663347,195.77421950407955,32.690689054396145,1.7962149634737858,0.40887335258510316,3000,LDPC,0.01,526.5644161173486,2.6664268261407056,0.2810223497986227,1.4292763007267648,0.6793632289534018,0.09892852516439805,0.14153650196790568
ECDH,Mid-range,116.7034702189838,177.6609309795478,38.35473084009534,4.222447612791448,0.8692893971804077,0,BCH,0.0,0.0,0.22767361340907244,0.0,0.0,0.0,0.0,0.0
