protocol,device_type,cpu_mhz,ram_kb,power_mw,distance_km,channel_loss_db_km,block_size,error_correction,qber,key_rate_bps,latency_s,phase1_init_s,phase2_qkd_s,phase3_post_processing_s,phase4_privacy_amp_s,phase5_key_management_s
ARC-QKD,High-end,145,302,33,6.8504437965316916,1.4432154553281722,4000,LDPC,0.08636707485417591,313.9105125969229,2.9481187520819345,0.14026760381278486,1.992784308014852,0.5085859422652251,0.20517554383773123,0.16603234664270644
ARC-QKD,Low-end,156,279,36,4.663519998782246,1.2131056773704545,5000,LDPC,0.0820654174057083,173.94250266118155,4.166906752229754,0.13835414831807916,1.7327186317922258,0.7498088622404809,0.3654962046185377,0.19490044607731008
BB84,Low-end,153,284,43,8.335648434675202,0.37186600783568674,2000,BCH,0.09440068860992576,89.88958203052178,4.293597855925324,0.1437787151978654,2.3710710083523163,0.5018977790562044,0.44817171464261474,0.14517764382117546
ARC-QKD,Mid-range,133,331,43,4.092204374906842,1.9080895371262632,4000,BCH,0.0727599586195681,212.56787332030603,3.387570172431942,0.1875694556007572,1.1064917459438117,0.9891200558969054,0.22074013358854253,0.1118161787896187
ARC-QKD,Low-end,126,272,30,9.676315671530315,0.9171765148277866,4000,BCH,0.056208890855239724,191.06605838576573,2.4495101475810293,0.2956057300771509,1.4546764302149429,0.5525894747425516,0.3378291595661111,0.12339907099874023
BB84,High-end,154,435,21,1.3820609448033845,1.8326630219159539,4000,BCH,0.08687850741683745,336.0295795433394,3.2429027024789407,0.4510023664787459,1.9605802283808642,0.5624672125598278,0.21352499449307574,0.10615797091427626
ARC-QKD,Mid-range,152,309,31,6.362755427472023,0.8960820316907492,2000,BCH,0.08990854392990848,389.9475221657496,4.991859373541779,0.14324934089486946,2.79315750108023,0.9262903339025685,0.4414646686173312,0.11632882295926582
ARC-QKD,High-end,92,126,29,5.072757757866493,1.7648521147438951,3000,LDPC,0.06382070272407948,284.99841730110813,2.9016713213299874,0.29322776327694755,1.3697730911975685,0.9638394223164395,0.39818064387008556,0.1982542673115917
ARC-QKD,High-end,146,397,10,6.696051535176238,1.8198013900222927,1000,LDPC,0.07577446014500412,472.98776236369105,2.070872664910549,0.3970791292306207,2.211485878876653,0.6485671864355551,0.2732297413106917,0.11106448137333236
ECDH,High-end,116,248,41,7.464193011782607,0.8062062104191314,4000,BCH,0.0,0.0,0.4568327678526488,0.1768924804947194,1.5912024241615452,0.9181886262500317,0.22517838339050436,0.1548075861317773
ARC-QKD,High-end,82,124,11,5.7229830366331385,1.7890105224567203,5000,LDPC,0.030861133688333972,281.4726079326184,4.35766050999474,0.4301795058235993,1.2514978555466567,0.5162298958799356,0.32321670677117875,0.13106238127431122
ECDH,Low-end,141,376,30,9.890081185070887,0.7620062935695118,3000,LDPC,0.0,0.0,0.4404336673593341,0.10672512737270196,1.8584966960882319,0.5835703252124105,0.3534603612122672,0.189817351132841
ARC-QKD,High-end,164,486,28,1.6809222782416542,0.6944047092073162,4000,BCH,0.046252354588968626,277.17104001864345,4.0043752990311505,0.46923193284107156,2.1527786794636716,0.6402666386022405,0.23936955463797385,0.10229259423895781
BB84,High-end,128,472,32,2.304424657757585,1.3038448880373523,5000,LDPC,0.05043065928801475,91.64496674644245,4.757925204419633,0.2963438784997635,2.029103976713649,0.8939155215260071,0.42182161171668975,0.18575980611181514
ARC-QKD,Mid-range,136,83,38,4.202643890957486,0.22909871479033792,2000,LDPC,0.07798329480225673,385.66870992221965,4.193846033281992,0.1272815587504224,2.008143593509134,0.5388357729959129,0.3750229434836315,0.13561847566991647
BB84,High-end,151,214,31,9.852927600439491,0.6645718871987248,1000,LDPC,0.04251524047795221,258.3046135853736,3.7723487474303026,0.4769681682293879,2.5280962815672368,0.8012413364028297,0.34417015315211996,0.11438269726530904
ARC-QKD,High-end,142,463,29,3.544227472647131,1.2514262019088587,5000,BCH,0.02894591216938206,359.180769636191,4.613920934198149,0.27072970906498095,1.1921200717345386,0.5389378439267232,0.2410538474266391,0.185690224289513
ARC-QKD,High-end,112,220,14,1.4865803969561209,1.1587939297580585,5000,BCH,0.08249941201556314,343.3660116012883,4.2866312326494675,0.15033349404069674,1.4763728017165725,0.5942191953164527,0.31971763225988115,0.18492493456824569
ARC-QKD,Mid-range,137,247,48,1.619277124387051,1.327581362945267,2000,LDPC,0.07337096709184673,279.0515434586552,4.788906324217587,0.27289727187180723,1.1223726892677068,0.921927685217792,0.36788016774425225,0.17068504385803046
BB84,High-end,163,113,25,3.0954752724763983,0.29665291363832913,4000,LDPC,0.03615422285686478,378.5399112824108,3.1007085362824705,0.4116089400817171,1.3282925986613485,0.6770258627740643,0.3989144706008563,0.18022910760189836
ARC-QKD,Mid-range,129,316,33,5.063898940242244,1.9334188865774735,5000,BCH,0.05967988919522697,423.42616421262215,4.444815297389558,0.12745530209513692,1.519585598564226,0.9578728145116584,0.21073749969758496,0.17826780628508143
ECDH,Mid-range,110,408,35,5.672934204908234,1.2053492122003047,2000,BCH,0.0,0.0,0.406060125797408,0.4415806509408692,1.6137745693311127,0.6111887179635236,0.31203462830701423,0.15167006800865823
ECDH,Low-end,155,132,11,2.8009677681678946,0.8037663558064392,3000,BCH,0.0,0.0,0.45883721168496183,0.48728027974593713,2.9542693792814423,0.7458889368206343,0.2980413268462191,0.14316544214474106
BB84,High-end,90,367,11,5.848535009736323,0.39942013921701003,5000,LDPC,0.011261856616572134,143.3869649260971,3.460063641674434,0.14551337226313832,1.446344673600783,0.632949702506916,0.31498347469477767,0.1588428134893331
BB84,Low-end,163,120,13,4.138620612056736,1.277258608713935,1000,LDPC,0.02655401049173714,153.03096170982596,5.986372781312609,0.35567372341983816,2.372419670578769,0.6428959638276187,0.38290117574536087,0.10433410405959065
ARC-QKD,Mid-range,140,187,47,7.920601024388189,0.6842180010052239,3000,BCH,0.06752028898085932,116.53242017713868,2.638245983007918,0.22210550472437252,2.8559202388679017,0.6554192617430734,0.28428541440404226,0.17239168144090516
ECDH,Low-end,88,426,13,1.3116645567840757,1.2726544238621933,1000,LDPC,0.0,0.0,0.31410657117657187,0.35227639937548594,2.6366292802408506,0.7510837745461871,0.42052753446394164,0.12979515257055413
BB84,Mid-range,82,205,22,0.3610999960006205,0.8384405406026083,4000,LDPC,0.04253628450857184,155.7960381456311,5.747367610197751,0.3192445708736723,2.8956130055746065,0.7514799584252989,0.22536152128467588,0.15338973140398526
ARC-QKD,High-end,134,312,38,9.471253668955553,0.7189015899984907,1000,BCH,0.07309371140534471,336.44884017421066,4.593582052678391,0.13282698077415028,1.923520655608493,0.7300154024495864,0.41225718538451395,0.1844177113514081
ECDH,High-end,160,144,13,1.8956175546956162,0.28199669985074577,3000,LDPC,0.0,0.0,0.48615265526866003,0.16304828908772584,1.5676533538726527,0.7693262240710242,0.38167507535900624,0.14191712084116095
ECDH,Low-end,125,509,37,0.5291530307887272,1.010557548469016,3000,BCH,0.0,0.0,0.43197896345680864,0.2320669573993131,2.08834325801799,0.8459837889664814,0.4652345828742755,0.19673023418619998
BB84,High-end,139,474,37,0.3658053574792153,0.23518161678101174,3000,LDPC,0.06978752012145269,244.07257666386337,5.068309086392302,0.16124264168690963,2.2552771837345422,0.5501009295545491,0.29476606556064466,0.13970346560081565
ARC-QKD,High-end,82,133,18,1.8928311872955013,0.9301846595657688,3000,LDPC,0.014831239074310203,251.37246596726274,4.799297374583667,0.15924919987339847,2.4122818900232446,0.8724945400894439,0.255515611237274,0.14516163390167627
ARC-QKD,Low-end,129,427,22,4.893399894334263,1.4661573910990695,2000,LDPC,0.040242701553636975,147.97016909490634,2.8482456255362347,0.13045703755736393,2.2223957241863515,0.5228288283156233,0.22725270739704584,0.11082701616470059
ECDH,High-end,104,76,16,5.813177881138767,0.9794502376397916,2000,BCH,0.0,0.0,0.24465541823663686,0.3591006585006634,1.9220421996857544,0.9261113884556426,0.2745113463887544,0.1979891964961356
ARC-QKD,Low-end,91,77,40,5.994193790789523,0.9628837131240808,4000,BCH,0.07693044480335459,141.55333307844012,3.659846100481758,0.36084501989598883,1.5131552989956143,0.8332921955145449,0.3279242451914467,0.19112367568795036
ARC-QKD,Low-end,153,438,33,0.9974101326183209,0.5026695594257664,2000,BCH,0.03972275076418383,371.19114778819886,4.46140012377545,0.18398159679214787,2.5605039774752543,0.8676430133631114,0.2040084662115182,0.1824403233616725
BB84,Low-end,168,394,41,7.112173198733552,1.9206250425325977,3000,LDPC,0.04520114672432296,146.86586034082464,2.471239640107664,0.12495621609014407,2.694777777911295,0.6673972467437592,0.493333616067299,0.18978703196871471
ARC-QKD,High-end,168,111,24,8.8364297577422,0.41632102091736056,3000,LDPC,0.015297701613182932,183.73514303218164,4.890924157546001,0.13643690905271355,1.5698244449961183,0.9145459773088928,0.21806717346951734,0.1982482684849911
ARC-QKD,Low-end,156,416,14,9.510510661529441,0.7159237262650882,2000,BCH,0.035396200679057264,156.26435518371466,2.4355632259800837,0.2590138347258477,1.9634289595036665,0.8400569894872387,0.27831411913283116,0.18734363123326214
ARC-QKD,High-end,109,480,49,7.468137296697646,0.24758674664671287,2000,BCH,0.013175465907814236,484.92950497280833,4.7607594663408985,0.3973352541926761,1.775759276466461,0.6038478102906828,0.34142182965001644,0.1948225311697326
ARC-QKD,Mid-range,80,156,27,0.5853822373623077,0.8165100901644902,4000,BCH,0.041009447973015846,333.246836369573,2.4799439004159622,0.4875002901561377,1.6715777613891325,0.9584277572494819,0.4876001969885306,0.14540178202690948
BB84,Mid-range,94,394,20,3.491150782091379,1.4265646233626663,4000,BCH,0.05337810535626719,121.54151578615131,2.7284360858391636,0.4017330255293735,2.729518357656679,0.9213378377223983,0.4524720557527618,0.1521166423755544
ARC-QKD,High-end,82,287,37,8.802757250573938,0.9323405453013556,2000,BCH,0.03406527550529559,174.22942362619256,4.802801276979501,0.3292165970650156,2.2406164567738336,0.794325828457098,0.3291535724839685,0.15217966070616995
ARC-QKD,High-end,150,113,49,7.859595793279018,0.49130411813359826,5000,LDPC,0.029453588132298036,454.2935298133733,2.2809641893789285,0.1234066569597328,1.9332451269365456,0.5114126885272989,0.4716290909678234,0.13200349519070087
ARC-QKD,Mid-range,151,292,22,0.39281980622783896,1.0350434903844914,3000,BCH,0.036469215837228376,350.50425408393403,4.299805943591634,0.2971240032818584,1.6534315258266856,0.5179780328286454,0.37987268740366614,0.11826812209458584
ECDH,High-end,113,271,42,7.115361311489351,1.5461893198866201,2000,LDPC,0.0,0.0,0.2832012078475674,0.3182144501186759,2.7129705422034958,0.6513054385341672,0.4847330632793293,0.18723108042039996
ARC-QKD,Low-end,167,88,28,7.671763785665735,1.4697709569804802,3000,BCH,0.09156295489417673,424.73404294324973,4.299990915568898,0.3163749429542314,2.1784254192390646,0.6477997352635108,0.3959434409345209,0.1031965759767279
ARC-QKD,Mid-range,143,178,18,9.450426662358439,1.230081866953212,1000,BCH,0.05557698479002121,402.8521567810133,4.969223811843909,0.16689619446004011,1.0855761626567784,0.5587951946989911,0.37107258907606866,0.1672181195564464
ARC-QKD,Low-end,167,507,26,4.048788201067411,1.6801608545815332,2000,LDPC,0.09055771566227135,324.04401045238535,3.1389303108941213,0.19137919075915458,1.899830694212461,0.6956860297255374,0.41401371991879715,0.12624054865878684
BB84,High-end,97,388,27,5.250553554694194,0.635747284734725,1000,BCH,0.017184952377422867,328.7031583135247,5.041244444636304,0.21888357328652847,1.9843920127972836,0.8283194645913649,0.4047364918765074,0.11916982758763289
BB84,Mid-range,120,112,48,8.01261075257038,1.545061252758265,2000,LDPC,0.017869802886484043,185.69613552087142,4.043710565515795,0.3631718333976668,2.809646119704944,0.9987314826865932,0.4988696314447232,0.19917908688951919
ARC-QKD,Mid-range,135,75,23,3.1753823491718336,0.7398443217666204,5000,LDPC,0.07936875630513719,140.1687370482547,4.6311582687588615,0.42799326107904145,2.1948366234460073,0.8463684224189221,0.39750311039299663,0.17411960685591044
ECDH,High-end,85,93,30,0.18488441822269622,0.4839101579786794,1000,LDPC,0.0,0.0,0.36346227986568447,0.14701592994570514,2.223161914340273,0.6738718971663729,0.2231842670385028,0.13273999338484213
ARC-QKD,Mid-range,136,314,11,4.555578521592456,0.8937144066435294,2000,BCH,0.04913722987133623,191.82781552711862,2.07909666715053,0.40255495609006153,2.5862283761483535,0.5444490845797215,0.218424439432455,0.16792027296914655
ARC-QKD,Mid-range,95,185,25,8.24768251199368,1.0784491751286374,5000,LDPC,0.08263201657294211,388.36649432802375,2.5666721446431637,0.22220788193112614,2.2924112409410107,0.9993279642214707,0.3379597156278573,0.16009441479448164
BB84,Mid-range,109,185,43,7.682492332900297,1.2690308664497023,1000,LDPC,0.04481785081619249,317.06721593498156,5.952572414647254,0.24479737467852958,2.8226459870969,0.9953167402768754,0.2990273367559501,0.19134049351351914
ECDH,Mid-range,156,71,42,1.2610036054395344,1.7784420138105417,3000,LDPC,0.0,0.0,0.17801176201235852,0.2747283431947588,1.5929087446291672,0.8974724111137824,0.394761010209161,0.1250622869668866
ARC-QKD,High-end,103,464,10,2.921842193995083,1.1091072035571397,5000,BCH,0.06532860714574723,484.87894011358253,2.4434398119277425,0.3453219334295215,1.7272473875638001,0.9420778200882871,0.42336139170406106,0.1342508774299231
ARC-QKD,Low-end,95,373,37,1.7942045237972202,1.2943324419856639,2000,LDPC,0.09768798058300482,216.03800887963516,4.356325358611514,0.391933182833879,1.2987143342740737,0.7960636323606292,0.4924977340432455,0.1461836429255212
ARC-QKD,High-end,167,289,29,7.54763253800081,1.1164265939680718,1000,LDPC,0.04277663311835624,303.34097954948476,2.6885719244008977,0.15431258064383294,2.8393918793648996,0.5095838114900482,0.24803110605448647,0.13122349783172935
BB84,High-end,81,116,44,1.4006012964430181,1.192151530612561,3000,LDPC,0.035533841343004725,187.88725532225186,4.4186398503418385,0.30449868598821017,1.7197767484079207,0.5998907631578069,0.44612493525552843,0.19357507440138247
ARC-QKD,Low-end,85,152,48,8.91457901664709,0.909508904344716,3000,BCH,0.043294324365196875,403.6151117223435,3.3517532973848807,0.15015131779483368,2.1401721600679484,0.8599764408172408,0.3800617496257852,0.11712016839625261
ECDH,Mid-range,125,277,26,7.356312260224197,1.648526201048091,2000,LDPC,0.0,0.0,0.13244912881744955,0.46512332907188647,2.52815392601917,0.5046451670607671,0.4302749294739927,0.179073124222217
ECDH,Mid-range,148,510,25,3.452271225041987,1.81592741294231,2000,LDPC,0.0,0.0,0.3167004448763988,0.4752941865045426,1.433448188474556,0.5235357649485003,0.21164384179118056,0.17579737726667016
ARC-QKD,High-end,167,291,29,2.855036245590748,0.40546958671809646,2000,BCH,0.011205496250056958,347.91147574109937,3.7489224084981325,0.45074059661509136,1.5952275251285226,0.508473382290235,0.4539958363888451,0.14206614139784354
ARC-QKD,Low-end,126,161,20,7.082669638118563,1.3590682126376146,3000,BCH,0.09016079777458186,152.30924695065266,3.5554111596860736,0.16632174042450298,1.238831260700792,0.8134050884967028,0.39833230593039914,0.13559343789700684
ARC-QKD,Mid-range,109,303,34,2.6664221323666464,1.1784896296280196,5000,BCH,0.061220186671842904,130.30039035142983,2.2761703217190568,0.18952131123139343,2.117103599372486,0.8883266977044425,0.4320122558125157,0.18449527668297416
BB84,High-end,115,174,13,6.620155261023505,1.5988575769452655,5000,LDPC,0.07029524810880047,375.86615428870005,3.3836418052532675,0.2116740739505788,1.4464568780829279,0.8072260868107902,0.23698271546010363,0.11950578698511921
ECDH,Low-end,165,493,46,0.8023033023238917,1.053840560471235,1000,BCH,0.0,0.0,0.14065991875610503,0.13845714048026403,2.5317283856190143,0.7054572991018806,0.2017858639732358,0.17050434061363895
ECDH,Low-end,146,100,47,3.0207987894786106,1.3743902579708176,5000,BCH,0.0,0.0,0.17806791538299707,0.13655125126664297,2.8673157044113946,0.9547203943231146,0.4112826754921478,0.15544282967347978
ARC-QKD,Mid-range,89,148,44,7.350207673871275,0.6490414151127717,2000,LDPC,0.04796134718950663,385.91649585295727,4.016123903718267,0.4184415185646281,1.1889772889051424,0.884717277334369,0.47810820606440513,0.19385678032125714
ARC-QKD,Low-end,91,82,31,9.119440772581777,1.9498607109099224,3000,LDPC,0.09357574612338253,344.28666033654434,3.4182336960549478,0.24265769110182875,1.2199854313342893,0.9311981032743544,0.4475993148006788,0.14512636217758176
ECDH,Mid-range,122,472,13,6.280975518138375,1.4550211878582224,4000,LDPC,0.0,0.0,0.4120778246511344,0.3386285947887332,1.609878464121918,0.9063075035042476,0.2978248628957323,0.13484733157560969
ARC-QKD,Mid-range,94,510,10,6.193405940947337,1.1189932388248194,3000,LDPC,0.07411638396353872,261.188926640687,3.6406974822800287,0.47996547180645954,1.7929646858660868,0.8284803803984251,0.24165932152190375,0.1877001113016943
ARC-QKD,Low-end,152,407,36,0.8865652486935621,0.5710766341571056,4000,LDPC,0.022326113259496978,397.01482088332256,2.0214271241922614,0.35805811225188655,2.3872007617977076,0.9398441468633849,0.45025982174860746,0.14587045891049233
ARC-QKD,Mid-range,98,207,22,4.064197140210998,0.3999626501771354,5000,LDPC,0.09809370039805762,342.864788576152,2.9714861246541258,0.24350027292379128,1.606473664461172,0.9347291319648299,0.3919672784710144,0.12641443247138248
ARC-QKD,High-end,81,382,40,5.381815344212455,1.3897050838247604,4000,LDPC,0.04463231561751487,290.2938870669859,2.303348288025758,0.2734742276901031,1.0349424388250308,0.6221833668003957,0.3250284128237417,0.14900789748757864
ARC-QKD,Low-end,141,262,44,4.858242367734084,1.5802838413927573,3000,LDPC,0.0897235848955395,424.0018644248722,3.75792680604033,0.29758690478748023,2.151060629110612,0.6856130746917738,0.45981571633548673,0.1773563849575937
ARC-QKD,Mid-range,163,345,17,4.814399413200252,1.3117078700383193,1000,LDPC,0.02213749394707762,431.6635215925785,4.962096818856654,0.3095055826131866,1.4389500929791832,0.549169326409584,0.47182647167143116,0.14013632431292253
ARC-QKD,Low-end,100,426,27,6.202839706064261,1.2417926395805157,5000,LDPC,0.09510799149289494,472.8373544050852,2.7448112958011306,0.24455487612754745,2.444767444753566,0.5338143876485015,0.272981670150897,0.14251028530364074
ARC-QKD,High-end,83,157,20,6.398000139319636,1.1756405956079294,5000,LDPC,0.05948024547505376,332.3381097288569,4.7723612733938054,0.18812051150607556,2.2081081721858937,0.507707135578602,0.44393645173935325,0.1125729241136524
ECDH,Low-end,80,418,34,3.9107045770769013,1.828951004847321,4000,BCH,0.0,0.0,0.17658667382100607,0.4781308230591531,2.2710251033063837,0.6050646995896095,0.37274390542322766,0.16851235723516325
ARC-QKD,Low-end,144,433,21,6.540390646405052,1.3257827154902828,3000,LDPC,0.014329462999918658,134.51393233447698,2.224021622510361,0.3250587380424831,2.347527303131727,0.7519167697691725,0.4529233269798435,0.13556591153936048
ARC-QKD,Mid-range,160,121,22,0.27328373217139124,0.8947466175701579,4000,LDPC,0.07604947740650776,239.39143305163134,4.400787450703621,0.4809803093106554,2.755341459710861,0.7349055885846081,0.254660663769549,0.15009246644736915
ARC-QKD,Low-end,109,253,16,2.6531758122852236,0.47193656551231794,2000,BCH,0.05993160668551794,283.75878803444596,2.872013468389948,0.1523009829778376,2.310551198396931,0.8936797115092084,0.31274642471332287,0.1111521070906192
ECDH,Low-end,111,302,14,2.1508530379484645,1.5631509140266344,1000,BCH,0.0,0.0,0.47399768425174127,0.16313744812751602,2.1831714162354974,0.6264564406735953,0.3459009726259376,0.11560709968204899
ARC-QKD,High-end,105,95,14,6.053843459054392,1.33535540860566,1000,LDPC,0.0644602885553784,382.789441770503,4.373917367176639,0.4302610877242695,2.6211623361469965,0.5849144425008111,0.4082236277043637,0.10740836024302644
ECDH,Mid-range,82,445,35,3.19950429012845,0.2705476733461302,2000,BCH,0.0,0.0,0.40446771342724586,0.13179860199418145,1.1999952614277645,0.6260625011996364,0.22192112493637894,0.1509891041852627
ECDH,High-end,124,74,13,2.575731876479538,1.8141551842209678,5000,LDPC,0.0,0.0,0.32129022147232633,0.2305959266334675,1.5731578626307794,0.9406522710697509,0.4987894449974536,0.1530084526601466
