device_type,cpu_mhz,ram_kb,power_mw,distance_km,channel_loss_db_km,block_size,error_correction,qber,key_rate_bps,latency_s,phase1_init_s,phase2_qkd_s,phase3_post_processing_s,phase4_privacy_amp_s,phase5_key_management_s
Mid-range,115,289,45,8.795948603054347,1.1104078968384938,4000,BCH,0.053625412119237756,364.18458896702543,4.465080536869252,0.35065130231409347,2.1911279283972434,0.9974581743212088,0.39192471983863564,0.14372357960146392
High-end,134,338,18,1.835197994221633,1.697573946882843,4000,BCH,0.07777174734711505,324.38430480309216,3.0771735048569546,0.3131048910837708,1.9741853070150364,0.9808868805863931,0.2884289708535235,0.14139590062674373
Mid-range,124,255,14,9.1288967031213,1.0366852295282665,2000,LDPC,0.020176914165793203,298.2957232189051,2.712781101960069,0.24710943013980186,1.3480402911065905,0.7288889052378102,0.23576626108000714,0.1001808770662183
Low-end,141,285,33,8.67066557064966,0.8468094687586609,1000,BCH,0.046211803879915386,316.39035500273656,2.019467503415108,0.1743080199246591,1.0281083363275134,0.8966711906682148,0.4940696838616633,0.1649593855200192
Low-end,122,307,45,2.4509721415710586,0.29017534637864484,3000,LDPC,0.03920501346543756,316.7132723471373,4.91567229448753,0.4520773853712162,1.4304447091943697,0.9506912240271033,0.21383844659263873,0.1882467252285557
Low-end,142,220,42,4.965825777883647,1.5831550598422808,1000,BCH,0.08490430712531537,247.1012497281213,2.843010138182819,0.3186503305409205,2.3252912571515862,0.9259240627165597,0.27375200263893457,0.13770922798150556
Low-end,140,171,24,9.221564526293133,1.0723408682145354,3000,BCH,0.08671785518885637,219.44482970013843,3.414802204327182,0.28099096655096245,2.557727080787858,0.8084436112825142,0.26358161010705067,0.1982627471617102
High-end,119,301,33,8.059968550855956,0.24954198066217428,5000,BCH,0.06597900873720423,343.7149693893419,2.383407919683166,0.121101234180584,2.32255412746131,0.8848751203939571,0.4678371906535371,0.1331566294900517
Mid-range,82,234,34,1.411956813339182,1.823995836555868,1000,BCH,0.08027216250832303,316.43046375856176,4.214677508929926,0.20021934859688373,1.4536502991350062,0.79041254883531,0.2805375523120379,0.1507429980677616
Mid-range,98,345,28,5.182550674434485,0.6872643405947436,5000,LDPC,0.09180037681582802,261.52625107191193,4.029654101403382,0.3602996615615547,2.044812491142683,0.6600037120702609,0.34881592265579475,0.15422342199759698
Mid-range,154,188,32,3.9238373694917743,1.477004952957344,4000,LDPC,0.03241365697093443,350.51500937213154,2.4417845177458997,0.11492786676378529,1.143070284323791,0.7200608889186122,0.27249304428151194,0.15674500051181772
Low-end,134,208,49,9.03009013432558,0.25436802576173984,5000,BCH,0.06154508456658451,424.2844042492285,2.1372700183454207,0.3126457115399367,2.047420966295161,0.8616740429086501,0.43487774585983036,0.12298137738567823
Mid-range,114,364,31,8.811015756089928,0.8371541103510913,4000,BCH,0.07100854309705656,497.7627587018899,2.5524691653440854,0.2666684610380644,1.835527347943001,0.5234830023483827,0.2007287888861624,0.17136377638013772
Mid-range,144,463,31,5.856599842714109,1.3477901323283796,5000,BCH,0.012441698401474497,492.2430501496795,4.856617743966725,0.45313337617800153,2.043866119334898,0.947141322411607,0.35971210885643945,0.13760533321078086
High-end,116,282,15,9.212887977390197,1.9185477197553953,4000,LDPC,0.03715062297396102,250.08864923510052,2.3242407927675925,0.11483012702915488,1.4303923696749197,0.6732798050698353,0.4950553442818753,0.1696516273402624
Mid-range,152,211,34,7.019748935882028,0.6878420962489711,1000,BCH,0.019677031413767247,251.97754688251496,3.093900373231781,0.4681672269013132,2.840202809948233,0.527327650396991,0.2662517473976378,0.1284409400395462
Mid-range,96,332,50,3.9493973303930927,0.26103504555720997,3000,BCH,0.09979244548533894,275.63984373124674,2.0345116001482717,0.38808024340615765,2.6863175957013343,0.8581051821562377,0.39804855739922385,0.11466968730835408
Low-end,151,443,20,4.270441362874539,1.358613192726109,2000,LDPC,0.06259558424156601,274.75289090605145,4.254613405475871,0.3319503125014359,1.5000308487796854,0.720684737133018,0.46349992928727296,0.19790736495651173
High-end,80,222,18,4.817453067631165,0.4496793898287351,5000,BCH,0.0963197436697305,447.75550367701055,4.023122287922347,0.4721908261940745,2.148891030947839,0.7910803462729576,0.43521374161101356,0.11200110461506274
High-end,166,209,29,7.077840871498367,1.521131007707667,2000,BCH,0.025591269145316585,348.6475475087825,4.857146708345228,0.25435879592617694,1.5508861362855864,0.6582972897110135,0.29984442959927976,0.14232937968642947
Low-end,145,185,24,9.074293973107281,1.1806195016604102,1000,BCH,0.042689294020655334,309.791075484275,3.568502696838339,0.43121618318511623,2.5025962163481723,0.7017770622404411,0.3885507058350669,0.17623488595595838
Low-end,157,459,20,0.7560376701410639,0.2450676496469831,5000,LDPC,0.060660483221935346,157.10970109454576,4.02868706265332,0.370611393161845,2.386313906534166,0.8927686707778313,0.22545338718742286,0.10398400100452393
Mid-range,163,486,47,7.027454036593229,0.6218522553712904,5000,BCH,0.08648731624522021,170.429026565919,2.009393318019805,0.35763696328542616,2.6004664999465428,0.5039863244926182,0.4297378176171589,0.11591421685832426
Mid-range,104,281,12,4.358461019020371,0.2990530021076663,1000,LDPC,0.04597656641644177,125.80844757913204,3.808133623117805,0.14606858078765936,2.6156175655989387,0.9683657025704131,0.39359167825104796,0.17660007936878694
Low-end,139,377,50,8.207294648471704,0.5410118122088872,1000,BCH,0.07559122406427388,211.42138111158437,4.978200612275172,0.1133833716746826,2.009731270511635,0.7871775561221434,0.2355348878588904,0.12240008721351547
High-end,95,124,24,1.9467818862685395,1.1096477140350143,4000,BCH,0.07941188837649504,233.9668923251203,3.9438260309047593,0.3262588892314554,2.343564970818364,0.981395849633248,0.2075627577912428,0.10175118020485988
Low-end,101,286,46,7.477802815149122,1.5562034242818341,1000,BCH,0.0607962067793452,213.81973254938583,3.333379797323164,0.383394680472507,2.3626638136359635,0.9697828989815418,0.4561366091350637,0.1834072432357788
Mid-range,121,270,22,7.167841731534485,0.9319270051607234,1000,BCH,0.09882449357690856,280.2743951228072,2.2889370146473684,0.31352853687545157,1.8143082490217182,0.5024055655225843,0.27204298968516755,0.11207083635289862
High-end,144,307,25,1.670175760684029,1.226845552837673,2000,BCH,0.03917590358498968,466.88602522736903,3.1890499488085724,0.2459142393272407,2.5003368362725835,0.86380953782413,0.3619583597006491,0.1277586691606459
Low-end,158,157,31,6.824497238009032,1.4112156330266366,4000,LDPC,0.02750843022165267,405.87212297940124,2.1682777353573806,0.4950090005607023,1.2073808710668184,0.863943313502665,0.48793935244219633,0.1421173252698522
Low-end,150,386,42,1.3811409101989867,0.8694172306190386,3000,LDPC,0.06507282292250124,276.4238841024968,3.511739322188002,0.16867309190921725,2.2176502727541294,0.5666219423975041,0.3018979743031586,0.13972360641727172
Mid-range,165,200,42,9.454493228013272,1.213626366317649,3000,BCH,0.07438527809602881,451.62020103876415,4.26092989751133,0.42936784991265287,1.6425927667085904,0.765281916078203,0.4680987035432145,0.18033631968042899
Mid-range,98,402,37,3.063986054602253,1.6647613220910384,5000,LDPC,0.031044212458542678,440.10577194602445,2.8777980092841555,0.2381971274236273,1.6918102753587028,0.7127773044228913,0.2579057056281192,0.15520704038989055
High-end,150,240,17,1.596730421768324,1.522806270822088,5000,BCH,0.07996139795948108,331.01769239565806,3.796869551023128,0.34810860595322907,1.3771789556604352,0.9388797650495698,0.35584032500372276,0.11457612952951973
Mid-range,133,286,28,7.54056229368615,0.6699496475423892,5000,BCH,0.05460256468188891,414.9099006220705,2.816565156519359,0.29418019580698485,1.25712155589256,0.9848257234223705,0.3638595815576411,0.17162571734718546
Low-end,126,450,50,5.380655405401804,1.5989879497147197,2000,BCH,0.025764397504290402,301.43822288837055,4.871997798522845,0.2868285785317153,2.5966257140623914,0.583872404404354,0.4846704052422746,0.18999667626877845
Mid-range,119,500,38,4.157088778631014,0.9255494388476133,2000,LDPC,0.06385366057495992,287.81903663300864,4.648799589780097,0.18475580491476906,1.1434509512887132,0.8694839883243886,0.40041835602588727,0.12011143172005696
High-end,131,253,19,8.507368540426064,0.5940781858885467,3000,BCH,0.05932022368869698,383.27533210278983,4.180257994286133,0.33614982493123347,1.8381618294162159,0.623174067748796,0.23594441967795246,0.13895931196111608
Mid-range,125,85,46,9.883302258134032,1.8958667142071903,3000,BCH,0.05469791841981932,175.9555192996882,4.016698451506052,0.1572329113338995,2.3663479235409577,0.7319244270449434,0.43311203734483494,0.1394129213099081
Mid-range,106,263,18,1.0073804327861549,1.4279459927404143,4000,LDPC,0.05917618195462323,387.35500137987276,3.879832831328674,0.48044488710160094,1.31284303236345,0.6601120736203896,0.25911600730151735,0.15637138236406486
Mid-range,107,68,33,7.686972637159807,0.654644161817824,1000,BCH,0.09810029040203391,294.81609693713426,3.852072391272053,0.21773619699992197,1.8612187883765812,0.9650388244319673,0.28680436829126793,0.10512466755805606
Low-end,92,475,12,3.8777781315299897,0.8067458906273066,3000,LDPC,0.08837646688794341,372.91094663696737,3.714580886315453,0.4848186673639362,2.4448164893661977,0.6004956849382161,0.4719944193769037,0.11321527243081535
High-end,123,445,45,2.4575016619815653,0.3880800060357297,5000,BCH,0.08959236209572741,106.38814813252897,3.798257550771776,0.35273393894263894,2.1991594787176183,0.7474447810268565,0.20234136734922858,0.11169039061147806
High-end,107,447,14,1.6751649172116496,0.6261383926620087,2000,LDPC,0.028419177772502642,239.2628912343087,2.589417502830747,0.19708736235421132,2.9796146297044532,0.7023608206716907,0.30786979679811743,0.17099870778896864
Low-end,101,388,37,4.535346565329968,1.2029981075359575,2000,LDPC,0.0775786123535432,134.68351089598292,2.1702321083131983,0.408174425933966,2.825674784681777,0.5042483374468654,0.3704186585285264,0.12727678943398726
Mid-range,164,381,17,5.464894318155222,1.2998127703501656,1000,LDPC,0.019900661836543092,278.8291530942577,2.0872149616304707,0.430868006891412,2.7542805527903025,0.5908509179800558,0.24424483186380225,0.18148342743832518
Mid-range,119,333,39,7.364762078611119,0.21033987679717747,1000,BCH,0.06209160078797415,186.93024101610865,4.536837440598633,0.3604329346046429,2.9998232624120487,0.7446459693350911,0.20408369628402562,0.11544789985265809
Mid-range,117,273,29,8.19210291361251,1.7249676200226958,1000,LDPC,0.04989589442431102,307.69123181144334,4.88182951378379,0.367779533450579,1.330205989265268,0.6269146865793152,0.2750717900466113,0.10605865013443022
Mid-range,158,451,49,4.957318147484201,0.7112926554022485,4000,BCH,0.07504550682038721,214.1824027957838,2.8220547665507967,0.3676472413868106,1.9092157019034448,0.9845540693039125,0.32421173243767043,0.14316359270992443
Low-end,124,306,12,5.451707649551024,0.7889206111646567,2000,BCH,0.018525771115801455,473.8151486499386,2.1284225844495515,0.11086507946007838,2.610326877941187,0.9074326272322151,0.31389565939826564,0.11631613304382607
High-end,91,498,18,7.2953486449604945,1.7065527771401354,4000,LDPC,0.016326073674167094,151.49102355118575,3.2041759816171482,0.37726283724624854,2.423363730078732,0.5951546035172671,0.3059668882959505,0.16896331699923456
Mid-range,124,107,28,3.690159912443965,1.0487713300956325,2000,LDPC,0.013262092180703289,124.31079333226461,3.602400169180055,0.10129311292669461,2.3312918618900547,0.6886064636706318,0.49404512221815244,0.17252982625027677
High-end,82,301,17,2.940141526347567,0.325445589330811,4000,LDPC,0.0838338247116933,204.4993407388636,2.253191574649828,0.3892065502990163,2.991136825134988,0.5102218759371209,0.30768014407243627,0.1823126422020675
Low-end,163,78,11,5.6264415173386,1.6460392463761389,3000,LDPC,0.07698319081944628,408.7779805227656,4.783107307746838,0.41530852738968715,1.3854545248880414,0.5666554413109315,0.46215410869920226,0.1400889691303286
